Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Bartosz Bereszyński,Sampdoria,28,Poland,2020/2021,6000000.0,6000000.0,Wing-Back,it Serie A,31,29,2607.0,29.0,-0.3373522336176485,0.43823295353067226,0.5162499075513534,-0.7995018487519906,0.10908985106514812
Bastian Oczipka,Schalke 04,28,Germany,2017/2018,3500000.0,7000000.0,Wing-Back,de Bundesliga,29,26,2320.0,25.8,0.5902025547653938,-0.21768279550238603,-0.4814715841486412,0.22801492756138952,-0.02307349414186381
Bastian Oczipka,Schalke 04,29,Germany,2018/2019,5500000.0,4000000.0,Wing-Back,de Bundesliga,21,21,1875.0,20.8,0.3453294468660222,-0.6074668162271766,-0.5253846881680551,0.6489382015036962,-0.1672586907054371
Bastian Oczipka,Schalke 04,30,Germany,2019/2020,4000000.0,3200000.0,Wing-Back,de Bundesliga,34,33,3015.0,33.5,-0.030628147184022864,-0.147869946872787,-0.25343659645964,1.4559194099557307,0.010733201361295464
Bastian Oczipka,Schalke 04,31,Germany,2020/2021,2800000.0,600000.0,Wing-Back,de Bundesliga,27,20,1922.0,21.4,-0.5492838171060995,-0.20730153800259832,-0.46026023364086,-1.1303735029181654,-0.49073896169859693
Ben Chilwell,Leicester City,20,England,2017/2018,2500000.0,8000000.0,Wing-Back,eng Premier League,24,20,1853.0,20.6,0.05846251705816,-0.8024416396828509,0.9939963102915941,0.6109953926810231,0.2259265930668955
Ben Chilwell,Leicester City,21,England,2018/2019,15000000.0,35000000.0,Wing-Back,eng Premier League,36,36,3240.0,36.0,0.11094562788149044,-0.9674964117856693,0.5681912986045646,2.1623208471157738,0.2065086246412048
Ben Chilwell,Leicester City,22,England,2019/2020,50000000.0,40000000.0,Wing-Back,eng Premier League,27,27,2373.0,26.4,0.4538398238329006,0.37845067872442445,0.4479288259479487,0.30827555726080247,0.4183672616388386
Ben Chilwell,Chelsea,23,England,2020/2021,50000000.0,45000000.0,Wing-Back,eng Premier League,27,27,2286.0,25.4,0.4352361923634908,0.3810200582234912,0.15016087567799252,-0.11497259152254574,0.26688491959996286
Ben Davies,Tottenham,24,Wales,2017/2018,12000000.0,25000000.0,Wing-Back,eng Premier League,29,26,2324.0,25.8,0.37959375438411636,0.5017526663797757,0.7673980766190295,0.14796396246011476,0.5227020159728506
Ben Davies,Tottenham,25,Wales,2018/2019,25000000.0,25000000.0,Wing-Back,eng Premier League,27,20,1844.0,20.5,-0.5777049380700933,0.5516143972642177,-0.026880965711632676,-0.46235280956130903,-0.0910515010601759
Ben Davies,Tottenham,26,Wales,2019/2020,22000000.0,17500000.0,Wing-Back,eng Premier League,18,16,1431.0,15.9,-0.4409192164697903,0.14307281406574926,0.591193715756862,-0.33983145219154537,0.07642709387124735
Ben Davies,Tottenham,27,Wales,2020/2021,17500000.0,16000000.0,Wing-Back,eng Premier League,20,14,1346.0,15.0,-0.6028992819283542,-0.010863101088598061,-0.23436878746015077,0.09049093180528346,-0.2565655422811802
Benjamin Henrichs,Leverkusen,20,Germany,2017/2018,10000000.0,12000000.0,Wing-Back,de Bundesliga,23,11,1268.0,14.1,0.1679163708499615,-0.620634406722846,0.9281070879441796,-0.09899487534062067,0.21015430282067776
Benjamin Henrichs,Monaco,21,Germany,2018/2019,16000000.0,15000000.0,Wing-Back,fr Ligue 1,22,21,1824.0,20.3,-0.04170748680497777,-0.6182214375864189,0.1396649132922209,-1.57454212592121,-0.27563909837794176
Benjamin Henrichs,Monaco,22,Germany,2019/2020,15000000.0,12000000.0,Wing-Back,fr Ligue 1,13,10,890.0,9.9,-0.30681552665617656,0.11157014612106259,0.17637854671212286,-1.8363297101286091,-0.18605260113020522
Benjamin Henrichs,RB Leipzig,23,Germany,2020/2021,12000000.0,12000000.0,Wing-Back,de Bundesliga,13,5,540.0,6.0,-0.006854236814923753,0.286912751454126,0.4802910970931313,-0.39768727038382207,0.19800507376326806
Benjamin Mendy,Manchester City,23,France,2017/2018,13000000.0,40000000.0,Wing-Back,eng Premier League,7,4,363.0,4.0,0.058921787933644186,0.7126176875226574,0.288012732140728,1.8147794716885635,0.47811336167886875
Benjamin Mendy,Manchester City,24,France,2018/2019,45000000.0,35000000.0,Wing-Back,eng Premier League,10,10,900.0,10.0,0.1630146936135958,2.076853441021564,-0.23044523847715315,1.1592219393416954,0.6033841288066356
Benjamin Mendy,Manchester City,25,France,2019/2020,35000000.0,28000000.0,Wing-Back,eng Premier League,19,18,1492.0,16.6,0.28968916476911405,1.8597627544236195,-0.7747865160757674,0.7835373581267012,0.3590258932227906
Benjamin Mendy,Manchester City,26,France,2020/2021,28000000.0,20000000.0,Wing-Back,eng Premier League,13,11,953.0,10.6,0.832432920059746,1.0906862890151994,-0.5255507076785082,-0.3880308801130949,0.29965561257293627
Benjamin Pavard,Stuttgart,21,France,2017/2018,3500000.0,30000000.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,-0.6193976492887637,0.6773898920763968,1.1414254111158275,-0.14904619708165998,0.3681224524148437
